"osm_id","access","addr:housename","addr:housenumber","addr:interpolation","admin_level","aerialway","aeroway","amenity","area","barrier","bicycle","brand","bridge","boundary","building","capital","construction","covered","culvert","cutting","denomination","disused","ele","embankment","foot","generator:source","harbour","highway","historic","horse","intermittent","junction","landuse","layer","leisure","lock","man_made","military","motorcar","name","natural","office","oneway","operator","place","population","power","power_source","public_transport","railway","ref","religion","route","service","shop","sport","surface","toll","tourism","tower:type","tunnel","water","waterway","wetland","width","wood","z_order","way"
8953451618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2360690.4029007335 5006028.614018718)
8953451615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2360475.522887655 5005571.70163228)
8953451619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2361458.5630469527 5005757.762822817)
8953682486,,,,,,,,,,,,,,,,,,,,,,,"2017",,,,,,,,,,,,,,,,,,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2363240.09791371 5005461.581850947)
8848569318,,,,,,,,,,,,,,,,,,,,,,,"2225",,,,,,,,,,,,,,,,,Мразарник,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2361852.489329023 5007410.4041175945)
8882441617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Чешма Мичу Муши,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2363091.6645046864 5009251.916652266)
8882513817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2362042.5673595523 5008706.179246575)
8851397978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Пелистерски Водопад,,,,,,,,,,,,,,,,,,,,,,,waterfall,,,,,POINT (2361457.427588146 5012435.81346554)
8882271318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2364284.7088833647 5011058.574310657)
8953439182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2365660.116851861 5011600.771282985)
8913818929,,,,,,,,,,,,,,,,,,,,,,,"1531",,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2366623.6538363714 5013002.1608201675)
8913818928,,,,,,,,,,,,,,,,,,,,,,,"1520",,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2366587.9648076235 5013195.489077988)
8911940916,,,,,,,,,,,,,,,,,,,,,,,"1769",,,,,,,,,,,,,,,,,Чука,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2366728.8507551714 5011590.343849366)
